audio,text
wav_recordings\asomot_bohu_saah_bagisa_ase_001.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_002.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_003.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_004.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_005.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_006.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_007.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_008.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_009.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_010.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_011.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_012.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_013.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_014.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_015.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_016.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_017.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_018.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_019.wav,Asomot bohu sah bagisa ase
wav_recordings\asomot_bohu_saah_bagisa_ase_020.wav,Asomot bohu sah bagisa ase
wav_recordings\bihu_asomor_jatiyo_uthob_001.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_002.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_003.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_004.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_005.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_006.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_007.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_008.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_009.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_010.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_011.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_012.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_013.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_014.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_015.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_016.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_017.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_018.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_019.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\bihu_asomor_jatiyo_uthob_020.wav,Bihu Asomor Jatiyo Uthob
wav_recordings\moi_aho_001.wav,Moi aho
wav_recordings\moi_aho_002.wav,Moi aho
wav_recordings\moi_aho_003.wav,Moi aho
wav_recordings\moi_aho_004.wav,Moi aho
wav_recordings\moi_aho_005.wav,Moi aho
wav_recordings\moi_aho_006.wav,Moi aho
wav_recordings\moi_aho_007.wav,Moi aho
wav_recordings\moi_aho_008.wav,Moi aho
wav_recordings\moi_aho_009.wav,Moi aho
wav_recordings\moi_aho_010.wav,Moi aho
wav_recordings\moi_aho_011.wav,Moi aho
wav_recordings\moi_aho_012.wav,Moi aho
wav_recordings\moi_aho_013.wav,Moi aho
wav_recordings\moi_aho_014.wav,Moi aho
wav_recordings\moi_aho_015.wav,Moi aho
wav_recordings\moi_aho_016.wav,Moi aho
wav_recordings\moi_aho_017.wav,Moi aho
wav_recordings\moi_aho_018.wav,Moi aho
wav_recordings\moi_aho_019.wav,Moi aho
wav_recordings\moi_aho_020.wav,Moi aho
wav_recordings\moi_asomot_thako_001.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_002.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_003.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_004.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_005.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_006.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_007.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_008.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_009.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_010.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_011.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_012.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_013.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_014.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_015.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_016.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_017.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_018.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_019.wav,Moi Asomot thako
wav_recordings\moi_asomot_thako_020.wav,Moi Asomot thako
wav_recordings\moi_bidyaloy_jao_001.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_002.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_003.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_004.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_005.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_006.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_007.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_008.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_009.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_010.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_011.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_012.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_013.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_014.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_015.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_016.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_017.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_018.wav,Moi bidyaloy jao
wav_recordings\moi_bidyaloy_jao_019.wav,Moi bidyaloy jao
